,ts_code,trade_date,close,open,high,low,pre_close,pct_change,vol,amount,vwap
0,BIDU,20211013,163.85,161.46,164.33,160.72,159.47,2.75,2580069,421481619.88,163.36
1,BIDU,20211012,159.47,161.4,164.23,158.85,162.16,-1.66,2408508,387085049.18,160.72
2,BIDU,20211011,162.16,164.9,166.92,162.16,162.09,0.04,3637188,597129884.12,164.17
3,BIDU,20211008,162.09,158.0,162.3,156.9,156.55,3.54,3651890,587810770.72,160.96
4,BIDU,20211007,156.55,154.64,158.3,153.7,149.36,4.81,3967590,621340067.6,156.6
5,BIDU,20211006,149.36,146.84,150.12,145.58,149.8,-0.29,2120021,315436016.57,148.79
6,BIDU,20211005,149.8,146.3,150.48,145.98,146.39,2.33,2331605,347950333.84,149.23
7,BIDU,20211004,146.39,149.02,149.02,144.51,151.58,-3.42,4539527,665166041.84,146.53
8,BIDU,20211001,151.58,153.59,155.55,150.66,153.75,-1.41,2490671,378714520.6,152.05
9,BIDU,20210930,153.75,151.95,155.0,151.75,151.92,1.2,2863542,440272188.32,153.75
10,BIDU,20210929,151.92,154.77,156.15,151.75,154.02,-1.36,2136750,327586638.22,153.31
11,BIDU,20210928,154.02,155.99,157.1,153.12,156.94,-1.86,3125332,482270324.71,154.31
12,BIDU,20210927,156.94,156.25,157.38,153.05,156.57,0.24,3146066,490328260.25,155.85
13,BIDU,20210924,156.57,158.55,159.46,155.91,160.5,-2.45,3248729,510379581.73,157.1
14,BIDU,20210923,160.5,160.95,162.28,157.51,159.88,0.39,2926802,466684754.45,159.45
15,BIDU,20210922,159.88,158.11,161.75,158.11,156.71,2.02,3629846,581622239.37,160.23
16,BIDU,20210921,156.71,156.0,158.23,155.5,154.5,1.43,2909769,456933247.1,157.03
17,BIDU,20210920,154.5,158.12,158.59,152.52,162.21,-4.75,6958457,1077200526.24,154.8
18,BIDU,20210917,162.21,163.27,163.7,160.8,159.56,1.66,4739668,768819650.41,162.21
19,BIDU,20210916,159.56,158.83,160.43,157.69,161.73,-1.34,3034055,483418410.39,159.33
20,BIDU,20210915,161.73,159.0,162.41,157.99,160.52,0.75,4721902,758887137.81,160.72
21,BIDU,20210914,160.52,162.44,163.95,160.11,163.26,-1.68,3421805,552210548.72,161.38
22,BIDU,20210910,164.1,166.53,168.74,163.42,163.65,0.27,4041860,671430145.53,166.12
23,BIDU,20210909,163.65,159.41,165.25,158.67,162.68,0.6,3674989,599980945.88,163.26
24,BIDU,20210908,162.68,166.65,167.78,161.3,166.68,-2.4,4476387,730575454.92,163.21
25,BIDU,20210907,166.68,167.57,169.8,165.95,162.98,2.27,6691945,1121088161.96,167.53
26,BIDU,20210903,162.98,161.94,164.68,161.51,162.37,0.38,3769587,613589284.2,162.77
27,BIDU,20210902,162.37,165.86,166.38,161.24,165.18,-1.7,6271567,1025012430.06,163.44
28,BIDU,20210901,165.18,158.88,166.49,158.58,157.02,5.2,9263942,1518789106.95,163.95
29,BIDU,20210831,157.02,155.5,157.25,153.36,153.18,2.51,5783590,901142950.81,155.81
30,BIDU,20210830,153.18,154.2,154.61,150.16,153.26,-0.05,5449320,829524371.8,152.23
31,BIDU,20210827,153.26,153.55,155.07,151.89,154.47,-0.78,3582486,549048580.12,153.26
