,ts_code,trade_date,close,open,high,low,pre_close,pct_change,vol,amount,vwap
0,IQ,20211013,9.41,9.26,9.46,9.06,9.23,1.95,5353117,49808611.37,9.3
1,IQ,20211012,9.23,8.93,9.23,8.85,9.0,2.56,4954762,45259767.48,9.13
2,IQ,20211011,9.0,9.05,9.22,8.64,8.79,2.39,8287285,74467054.34,8.99
3,IQ,20211008,8.79,8.27,8.85,8.12,8.17,7.59,10476118,90950511.55,8.68
4,IQ,20211007,8.17,7.8,8.38,7.72,7.45,9.66,9984313,81353179.76,8.15
5,IQ,20211006,7.45,7.36,7.6,7.25,7.47,-0.27,5489250,40862528.12,7.44
6,IQ,20211005,7.47,7.26,7.64,7.26,7.26,2.89,6272430,46966699.47,7.49
7,IQ,20211004,7.26,7.65,7.65,7.22,7.79,-6.8,11014395,81074756.51,7.36
8,IQ,20211001,7.79,7.97,8.05,7.62,8.03,-2.99,5826766,45163266.18,7.75
9,IQ,20210930,8.03,7.72,8.13,7.66,7.73,3.88,5918996,47115208.75,7.96
10,IQ,20210929,7.73,7.96,8.06,7.72,8.03,-3.74,4029241,31634781.07,7.85
11,IQ,20210928,8.03,8.12,8.31,7.97,8.2,-2.07,5383945,43363910.37,8.05
12,IQ,20210927,8.2,7.87,8.22,7.55,7.95,3.14,9262738,74100976.8,8.0
13,IQ,20210924,7.95,8.28,8.35,7.81,8.46,-6.03,10071715,80350131.96,7.98
14,IQ,20210923,8.46,8.52,8.57,8.25,8.5,-0.47,4714098,39526768.91,8.38
15,IQ,20210922,8.5,8.3,8.8,8.3,8.26,2.91,5869414,50406529.19,8.59
16,IQ,20210921,8.26,8.41,8.46,8.21,8.39,-1.55,2941358,24375622.02,8.29
17,IQ,20210920,8.39,8.51,8.59,8.25,8.7,-3.56,7077828,59275392.52,8.37
18,IQ,20210917,8.7,9.1,9.1,8.66,8.91,-2.36,6787582,59626874.31,8.78
19,IQ,20210916,8.91,8.76,9.02,8.62,8.83,0.91,4689926,41602456.64,8.87
