,ts_code,name,classify,list_date,delist_date
0,A,,EQT,19991118,
1,AA,美国铝业,EQT,20161031,
2,AAALF,,EQT,20140113,
3,AAALY,,ADR,20150129,
4,AAARF,,EQT,20090513,
5,AABB,,EQT,20010111,
6,AABVF,,EQT,19600101,
7,AACAF,,EQT,20050722,
8,AACAY,瑞声,ADR,20081015,
9,AACG,,ADR,20080128,
10,AACH,,EQT,20141002,
11,AACMZ,,GDR,19920605,
12,AACS,,EQT,20030616,
13,AACTF,,EQT,20131002,
14,AAEEF,,EQT,20120123,
15,AAGC,,EQT,20100910,
16,AAGFF,,EQT,20110816,
17,AAGH,,EQT,20120925,
18,AAGIY,,ADR,20110228,
19,AAGRY,,ADR,20140328,
20,AAIGF,,EQT,20101214,
21,AAIIQ,,EQT,19870507,
22,AAINF,,EQT,20120427,
23,AAIRF,,EQT,20200115,
24,AAL,,EQT,20131209,
25,AALBF,,EQT,20130708,
26,AAMAF,,EQT,20140213,
27,AAMC,,EQT,20121213,
28,AAME,,EQT,19721214,
29,AAMMF,,EQT,20180531,
30,AAMTF,,EQT,20141117,
31,AAN,,EQT,19821104,
32,AANNF,,EQT,20191025,
33,AAOI,,EQT,20130927,
34,AAON,艾伦建材,EQT,19880526,
35,AAP,,EQT,20011121,
36,AAPJ,,EQT,19960808,
37,AAPL,苹果,EQT,19801212,
38,AAPT,,EQT,20070425,
39,AASL,,EQT,20091214,
40,AASP,,EQT,20110223,
41,AASZF,,EQT,20180502,
42,AAT,,EQT,20110113,
43,AATDF,,EQT,20160415,
44,AATGF,,EQT,20140113,
45,AATP,,EQT,20181005,
46,AATV,,EQT,20010821,
47,AAU,,EQT,20051219,
48,AAUKF,,EQT,20140113,
49,AAVMY,,ADR,20190809,
50,AAVVF,,EQT,20051212,
51,AAVXF,,EQT,20160930,
52,AAWC,,EQT,20030926,
53,AAWW,,EQT,20040721,
54,AAXN,,EQT,20010703,
55,AAXT,,EQT,19930928,
56,AAZZF,,EQT,20200512,
57,AB,,EQT,19880414,
58,ABB,,ADR,20010406,
59,ABBB,,EQT,20080818,
60,ABBRF,,EQT,20170330,
61,ABBV,,EQT,20121210,
62,ABBY,,EQT,20120904,
63,ABC,,EQT,19950329,
64,ABCAF,,EQT,20131118,
65,ABCB,,EQT,19940518,
66,ABCE,,EQT,20040819,
67,ABCFF,,EQT,20140113,
68,ABCP,,EQT,20110223,
69,ABCZF,,EQT,20110411,
70,ABCZY,,ADR,20101204,
71,ABDDF,,EQT,20180702,
72,ABDR,,EQT,19721214,
73,ABEC,,EQT,20041026,
74,ABENU,,EQT,20161102,
75,ABEO,,EQT,20120724,
76,ABEPF,,EQT,20171214,
77,ABETF,,EQT,20140113,
78,ABEV,,ADR,20131111,
79,ABEYF,,EQT,20171201,
80,ABFOF,,EQT,20140113,
81,ABG,,EQT,20020308,
82,ABGLF,,EQT,20100721,
83,ABGOF,,EQT,20140113,
84,ABGOY,,ADR,20081023,
85,ABGSF,,EQT,20140113,
86,ABILF,,EQT,20140205,
87,ABIO,,EQT,19970807,
88,ABKB,,EQT,20060927,
89,ABLE,,EQT,19990622,
90,ABLGF,,EQT,20191127,
91,ABLT,,EQT,20120127,
92,ABLZF,,EQT,20100512,
93,ABM,,EQT,19690213,
94,ABMBF,,EQT,20140113,
95,ABMC,,EQT,19901002,
96,ABMD,,EQT,19870729,
97,ABML,,EQT,20160614,
98,ABMRF,,EQT,20170425,
99,ABMT,,EQT,20070731,
100,ABNAF,,EQT,20140113,
101,ABNC,,EQT,20120724,
102,ABPA,,EQT,20050113,
103,ABPR,,EQT,19961209,
104,ABQQ,,EQT,20160323,
105,ABR,,EQT,20040406,
106,ABRPRA,,EQT,20180319,
107,ABRPRB,,EQT,20191111,
108,ABRPRC,,EQT,20190905,
109,ABSCF,,EQT,20110909,
110,ABSOF,,EQT,20140508,
111,ABSSF,,EQT,20140113,
112,ABT,雅培,EQT,19620702,
113,ABTI,,EQT,20101203,
114,ABTO,,EQT,20120724,
115,ABTX,,EQT,20151008,
116,ABTZY,,ADR,20130603,
117,ABUS,,EQT,20101115,
118,ABVC,,EQT,20041109,
119,ABVG,,EQT,20001016,
120,ABVN,,EQT,20160916,
121,ABWN,,EQT,20151019,
122,ABYB,,EQT,19600101,
123,ABZPF,,EQT,20110707,
124,ABZPY,,ADR,20121217,
125,ABZT,,EQT,20040415,
126,ABZUF,,EQT,20110119,
127,AC,,EQT,20151109,
128,ACA,,EQT,20181030,
129,ACAD,,EQT,20040527,
130,ACAM,,EQT,20190510,
131,ACAMU,,EQT,20190222,
132,ACAN,,EQT,20140710,
133,ACAVF,,EQT,20140227,
134,ACAZF,,EQT,20100427,
135,ACB,,EQT,20140711,
136,ACBCQ,,EQT,19970818,
137,ACBD,,EQT,19950524,
138,ACBI,,EQT,20151103,
139,ACBM,,EQT,20180412,
140,ACC,,EQT,20040809,
141,ACCA,,EQT,19980910,
142,ACCFF,,EQT,20150805,
143,ACCLL,,EQT,20190605,
144,ACCMF,,EQT,20190319,
145,ACCO,,EQT,20050805,
146,ACCR,,EQT,19971222,
147,ACCYY,,ADR,20081016,
148,ACDSF,,EQT,20140113,
149,ACDVF,,EQT,20101219,
150,ACEEU,,EQT,20140829,
151,ACEHF,,EQT,20110520,
152,ACEIY,,GDR,20101005,
153,ACEJF,,EQT,20191115,
154,ACEL,,EQT,20170824,
155,ACER,,EQT,20000307,
156,ACEXF,,EQT,20140616,
157,ACEYY,,GDR,20100712,
158,ACEZ,,EQT,20000203,
159,ACFFF,,EQT,20160705,
160,ACFL,,EQT,19991007,
161,ACFN,,EQT,19920211,
162,ACGBF,,EQT,20100927,
163,ACGBY,中国农行,ADR,20110124,
164,ACGI,,EQT,19950825,
165,ACGJ,,EQT,19981019,
166,ACGL,,EQT,19950817,
167,ACGLP,,EQT,20171214,
168,ACGPF,,EQT,20110228,
169,ACGX,,EQT,19980902,
170,ACGYF,,EQT,20060410,
171,ACH,中国铝业,ADR,20011130,
172,ACHC,,EQT,20111103,
173,ACHFF,,EQT,19600101,
174,ACHV,,EQT,19951012,
175,ACI,,EQT,20200627,
176,ACIA,,EQT,20160513,
177,ACIU,,EQT,20160923,
178,ACIW,,EQT,19950224,
179,ACKAY,,ADR,20081028,
180,ACKDF,,EQT,20140113,
181,ACKRF,,EQT,20140113,
182,ACLD,,EQT,19901002,
183,ACLLF,,EQT,20140113,
184,ACLS,Axcelis,EQT,20000704,
185,ACLTF,,EQT,20140113,
186,ACM,AECOM,EQT,20070510,
187,ACMB,,EQT,20160602,
188,ACMC,,EQT,20001218,
189,ACMDY,,ADR,20181207,
190,ACMLF,,EQT,20191227,
191,ACMR,,EQT,20171103,
192,ACMT,,EQT,19721214,
193,ACMTA,,EQT,19870831,
194,ACN,埃森哲,EQT,20010719,
195,ACNB,,EQT,19901017,
196,ACNDF,,EQT,20070717,
197,ACNE,,EQT,19750131,
198,ACNFF,,EQT,20120504,
199,ACNI,,EQT,20050727,
200,ACNNF,,EQT,20170210,
201,ACNV,,EQT,20150127,
202,ACOPF,,EQT,20130426,
203,ACOPY,,ADR,20190521,
204,ACOR,,EQT,20060208,
205,ACOSF,,EQT,20140113,
206,ACPGF,,EQT,20191231,
207,ACPIF,,EQT,20140115,
208,ACPQF,,EQT,20170227,
209,ACPS,,EQT,20020308,
210,ACRB,,EQT,20101220,
211,ACRE,战神房产,EQT,20120426,
212,ACRFF,,EQT,20140113,
213,ACRGF,,EQT,20181116,
214,ACRL,,EQT,20160518,
215,ACRS,,EQT,20151007,
216,ACRX,,EQT,20110211,
217,ACSAF,,EQT,20140113,
218,ACSAY,,ADR,20140520,
219,ACSEF,,EQT,19970925,
220,ACSSF,,EQT,20170203,
221,ACST,,EQT,20110506,
222,ACSYF,,EQT,20140113,
223,ACTG,,EQT,20021216,
224,ACTL,,EQT,20160602,
225,ACTPF,,EQT,20140113,
226,ACU,,EQT,19721214,
227,ACUIF,,EQT,20161027,
228,ACUR,讴歌制药,EQT,19860314,
229,ACUS,,EQT,20030714,
230,ACWRF,,EQT,19600101,
231,ACXIF,,EQT,20140113,
232,ACY,,EQT,19980116,
233,ADAC,,EQT,20100831,
234,ADADD,,EQT,20150611,
235,ADAP,,ADR,20150506,
236,ADAPL,,EQT,20120223,
237,ADBCF,,EQT,20071010,
238,ADBE,Adobe,EQT,19860813,
239,ADBKF,,EQT,20190923,
240,ADBN,,EQT,19950503,
241,ADBRF,,EQT,20190904,
242,ADC,同意房产,EQT,19940415,
243,ADCOF,,EQT,20200127,
244,ADCT,,EQT,20200515,
245,ADCUF,,ADR,20200420,
246,ADCV,,EQT,20040525,
247,ADDC,,EQT,20131003,
248,ADDDF,,EQT,19951013,
249,ADDLF,,EQT,20190321,
250,ADDXF,,EQT,20081222,
251,ADDYY,,ADR,20041231,
252,ADEC,,EQT,20101005,
253,ADERY,,ADR,20130114,
254,ADES,,EQT,20031022,
255,ADEVF,,EQT,20200113,
256,ADEXF,,EQT,20140113,
257,ADFJF,,EQT,19600101,
258,ADFS,,EQT,20111201,
259,ADFT,,EQT,20100322,
260,ADGL,,EQT,20120312,
261,ADGO,,EQT,19950221,
262,ADGRF,,EQT,20171115,
263,ADGS,,EQT,20090119,
264,ADHC,,EQT,20030916,
265,ADHG,,EQT,20170512,
266,ADHLF,,EQT,19890117,
267,ADHMY,,ADR,20180129,
268,ADI,亚德诺,EQT,19730102,
269,ADIA,,EQT,20020927,
270,ADIL,,EQT,20180727,
271,ADIMF,,EQT,20140113,
272,ADKIL,,EQT,20150218,
273,ADKT,,EQT,19750131,
274,ADLDY,,ADR,20180712,
275,ADLI,,EQT,19910618,
276,ADM,,EQT,19620702,
277,ADMA,,EQT,20131017,
278,ADMG,,EQT,20120724,
279,ADMLF,,EQT,20190716,
280,ADMP,,EQT,20120724,
281,ADMQ,,EQT,20200205,
282,ADMS,,EQT,20140410,
283,ADMT,,EQT,19790215,
284,ADNT,,EQT,20161017,
